Hostname,Label,Vod,Live,Situação
gca-mob-picdm001,edge-mob-the-pi,vod-01.edge-mob-the-pi.video.globo.com,live-01.edge-mob-the-pi.video.globo.com,Produção
gca-nbs-rogjm001,edge-nbs-gjmr-ro,vod-01.edge-nbs-gjmr-ro.video.globo.com,live-01.edge-nbs-gjmr-ro.video.globo.com,Desativado
gca-osirnet-pltdu001,edge-osirnet-pet-rs,vod-01.edge-osirnet-pet-rs.video.globo.com,live-01.edge-osirnet-pet-rs.video.globo.com,Produção
gca-nbs-rovha001,edge-nbs-bvh-ro,vod-01.edge-nbs-bvh-ro.video.globo.com,live-01.edge-nbs-bvh-ro.video.globo.com,Produção
gca-nbs-roaqs001,edge-nbs-aqm-ro,vod-01.edge-nbs-aqm-ro.video.globo.com,live-01.edge-nbs-aqm-ro.video.globo.com,Produção
gca-nbs-mtcba001,edge-nbs-cgb-mt,vod-01.edge-nbs-cgb-mt.video.globo.com,live-01.edge-nbs-cgb-mt.video.globo.com,Produção
gca-predialnet-rjnit001,edge-predialnet-nit-rj,vod-01.edge-predialnet-nit-rj.video.globo.com,live-01.edge-predialnet-nit-rj.video.globo.com,Produção
gca-sinalbr-spsjp001,edge-sinal-sjp-sp,vod-01.edge-sinal-sjp-sp.video.globo.com,live-01.edge-sinal-sjp-sp.video.globo.com,Produção
gca-softdados-bassa001,edge-softdados-ssa-ba,vod-01.edge-softdados-ssa-ba.video.globo.com,live-01.edge-softdados-ssa-ba.video.globo.com,Produção
gca-vtal-rjarc001,edge-vtal-gig-rj,vod-01.edge-vtal-gig-rj.video.globo.com,live-01.edge-vtal-gig-rj.video.globo.com,Produção
gca-sky-spo001,edge-sky-spo-sp,vod-01.edge-sky-spo-sp.video.globo.com,live-01.edge-sky-spo-sp.video.globo.com,Desativado
gca-sumicity-rjita001,edge-sumi-ita-rj,vod-01.edge-sumi-ita-rj.video.globo.com,live-01.edge-sumi-ita-rj.video.globo.com,Produção
gca-sumicity-rjgua001,edge-sumi-gua-rj,vod-01.edge-sumi-gua-rj.video.globo.com,live-01.edge-sumi-gua-rj.video.globo.com,Produção
gca-sumicity-escar001,edge-sumi-cari-es,vod-01.edge-sumi-cari-es.video.globo.com,live-01.edge-sumi-cari-es.video.globo.com,Produção
